Team 1,Team 1 Points,Team 2,Team 2 Points,Home Team
Cleveland Cavaliers,102,Boston Celtics,99,Cleveland Cavaliers
Golden State Warriors,121,Houston Rockets,122,Golden State Warriors
Detroit Pistons,102,Charlotte Hornets,90,Detroit Pistons
Indiana Pacers,140,Brooklyn Nets,131,Indiana Pacers
Orlando Magic,116,Miami Heat,109,Orlando Magic
Washington Wizards,120,Philadelphia 76ers,115,Washington Wizards
Boston Celtics,100,Milwaukee Bucks,108,Boston Celtics
Memphis Grizzlies,103,New Orleans Pelicans,91,Memphis Grizzlies
Dallas Mavericks,111,Atlanta Hawks,117,Dallas Mavericks
Utah Jazz,106,Denver Nuggets,96,Utah Jazz
San Antonio Spurs,107,Minnesota Timberwolves,99,San Antonio Spurs
Phoenix Suns,76,Portland Trail Blazers,124,Phoenix Suns
Sacramento Kings,100,Houston Rockets,105,Sacramento Kings
Toronto Raptors,117,Chicago Bulls,100,Toronto Raptors
Oklahoma City Thunder,105,New York Knicks,84,Oklahoma City Thunder
Los Angeles Lakers,92,Los Angeles Clippers,108,Los Angeles Lakers
Charlotte Hornets,109,Atlanta Hawks,91,Charlotte Hornets
Indiana Pacers,96,Portland Trail Blazers,114,Indiana Pacers
Milwaukee Bucks,97,Cleveland Cavaliers,116,Milwaukee Bucks
Philadelphia 76ers,92,Boston Celtics,102,Philadelphia 76ers
Washington Wizards,115,Detroit Pistons,111,Washington Wizards
Brooklyn Nets,126,Orlando Magic,121,Brooklyn Nets
Minnesota Timberwolves,100,Utah Jazz,97,Minnesota Timberwolves
Dallas Mavericks,88,Sacramento Kings,93,Dallas Mavericks
New Orleans Pelicans,120,Golden State Warriors,128,New Orleans Pelicans
Phoenix Suns,130,Los Angeles Lakers,132,Phoenix Suns
Toronto Raptors,128,Philadelphia 76ers,94,Toronto Raptors
Chicago Bulls,77,San Antonio Spurs,87,Chicago Bulls
Cleveland Cavaliers,93,Orlando Magic,114,Cleveland Cavaliers
Houston Rockets,107,Dallas Mavericks,91,Houston Rockets
Memphis Grizzlies,111,Golden State Warriors,101,Memphis Grizzlies
Miami Heat,112,Indiana Pacers,108,Miami Heat
New York Knicks,107,Detroit Pistons,111,New York Knicks
Milwaukee Bucks,113,Portland Trail Blazers,110,Milwaukee Bucks
Denver Nuggets,96,Sacramento Kings,79,Denver Nuggets
Utah Jazz,96,Oklahoma City Thunder,87,Utah Jazz
Los Angeles Clippers,130,Phoenix Suns,88,Los Angeles Clippers
Brooklyn Nets,116,Atlanta Hawks,104,Brooklyn Nets
Oklahoma City Thunder,113,Minnesota Timberwolves,115,Oklahoma City Thunder
Los Angeles Lakers,112,New Orleans Pelicans,119,Los Angeles Lakers
Detroit Pistons,86,Philadelphia 76ers,97,Detroit Pistons
Miami Heat,104,Atlanta Hawks,93,Miami Heat
Houston Rockets,90,Memphis Grizzlies,98,Houston Rockets
Milwaukee Bucks,103,Charlotte Hornets,94,Milwaukee Bucks
Dallas Mavericks,103,Golden State Warriors,133,Dallas Mavericks
San Antonio Spurs,101,Toronto Raptors,97,San Antonio Spurs
Denver Nuggets,104,Washington Wizards,109,Denver Nuggets
Phoenix Suns,117,Sacramento Kings,115,Phoenix Suns
Cleveland Cavaliers,119,Chicago Bulls,112,Cleveland Cavaliers
Orlando Magic,125,Brooklyn Nets,121,Orlando Magic
Boston Celtics,110,New York Knicks,89,Boston Celtics
Minnesota Timberwolves,107,Indiana Pacers,130,Minnesota Timberwolves
Portland Trail Blazers,103,New Orleans Pelicans,93,Portland Trail Blazers
Los Angeles Clippers,102,Utah Jazz,84,Los Angeles Clippers
